Image, a, b, c, d, e, f, g, h, i, j, k, l
000001.png,13.9963375,57.153775,15.7269625,44.0321125,41.7603375,44.0321125,50.8131,57.153775,49.082475,70.2754375,23.0491125,70.2754375
010020.png,32.894275,17.4329625,38.2061375,4.6460625,67.5323375,4.6460625,74.3678,17.4329625,69.05595,30.21985,39.72975,30.21985
010021.png,16.7056625,38.9349125,22.3206125,24.1008125,50.2876625,24.1008125,56.25705,38.9349125,50.6421125,53.7690125,22.675075,53.769025
010022.png,46.9250625,39.7288375,52.6366375,25.60775,78.770125,25.60775,83.8834125,39.7288375,78.17185,53.8499,52.0383625,53.8499125
010023.png,43.410275,51.3860625,50.7279,37.8012625,77.9938125,37.8012625,81.9700875,51.3860625,74.6524625,64.97085,47.386575,64.97085
010024.png,16.718025,28.3510125,23.8608625,13.405875,52.887675,13.405875,57.7681375,28.3510125,50.6252875,43.2961375,21.5985,43.29615
010025.png,33.5263375,46.73025,40.0622625,32.19605,69.7272125,32.19605,75.4789125,46.73025,68.9429875,61.2644625,39.27805,61.2644625
010026.png,15.170025,25.7334125,22.3566,11.958075,48.4296375,11.958075,52.042875,25.7334125,44.8563125,39.5087375,18.7832875,39.5087375
010027.png,29.6277375,18.1503125,35.5903625,5.5395875,64.3392375,5.5395875,70.2848,18.1503125,64.3221875,30.7610375,35.5733125,30.7610375
010028.png,14.18255,49.0205875,17.6031375,35.2089625,43.2269875,35.2089625,50.4201375,49.0205875,46.99955,62.8322125,21.3757125,62.832225
010029.png,20.2667875,27.0705875,26.9994,13.139875,54.8712875,13.139875,59.683575,27.0705875,52.9509625,41.0013,25.0790875,41.0013
001003.png,27.8385125,53.709325,33.8089625,40.0956375,63.5315,40.0956375,69.8725375,53.709325,63.9020875,67.3230125,34.1795625,67.3230125
010030.png,23.77575,23.4261125,30.437675,10.052975,58.5768,10.052975,63.5705,23.4261125,56.9085875,36.79925,28.7694625,36.79925
010031.png,47.088125,28.96385,51.355725,14.7587375,77.9551875,14.7587375,84.70545,28.96385,80.43785,43.168975,53.8384,43.168975
010032.png,27.279825,51.6446625,33.0103625,38.0070625,62.0897,38.0070625,68.4042125,51.6446625,62.673675,65.28225,33.5943625,65.2822625
010033.png,50.0120875,21.2623125,52.4525,8.41235,77.175675,8.41235,84.9759625,21.2623125,82.53555,34.1122875,57.8123875,34.1122875
010034.png,33.6784875,56.2033125,40.16605,43.672375,68.3137875,43.6723625,73.4854,56.2033125,66.9978375,68.7342625,38.8501125,68.7342625
010035.png,18.0456625,31.20955,24.5132125,16.7609,52.345375,16.7609,57.406275,31.20955,50.938725,45.6581875,23.106575,45.6581875
010036.png,14.3944125,54.445675,17.3442375,40.4019125,45.2273125,40.4019125,53.82705,54.445675,50.877225,68.489425,22.99415,68.489425
010037.png,46.9316,53.2911625,54.6737875,40.08485,80.7905125,40.08485,83.866225,53.2911625,76.1240375,66.4974625,50.007325,66.4974625
010038.png,14.5261125,50.858925,17.4472125,37.623325,42.16655,37.623325,49.48455,50.858925,46.56345,64.094525,21.844125,64.094525
010039.png,15.7060875,53.2119375,19.1662125,39.2457875,47.0658625,39.2457875,55.16215,53.2119375,51.7020375,67.1780875,23.8023875,67.1781
001004.png,28.87365,17.69025,35.0344375,4.869875,64.472825,4.869875,70.505825,17.69025,64.3450375,30.510625,34.9066625,30.510625
010040.png,44.0890625,49.5554875,51.4937,35.2554625,79.4534125,35.2554625,83.6300625,49.5554875,76.2254375,63.8555,48.265725,63.8555
010041.png,36.8055,51.8674,43.919775,37.92535,73.168175,37.9253375,78.169,51.8674,71.0547375,65.8094375,41.80635,65.8094375
010042.png,47.686025,56.8923875,55.9438875,44.497725,81.30835,44.497725,83.5568125,56.8923875,75.29895,69.28705,49.934475,69.28705
010043.png,33.0336125,36.95775,39.069775,22.2809625,68.302475,22.2809625,74.3749,36.95775,68.33875,51.6345125,39.10605,51.634525
010044.png,14.6035875,49.141025,18.0185625,35.4943375,43.4652875,35.4943375,50.5907,49.141025,47.1757375,62.7877,21.7290125,62.7877
010045.png,16.696675,25.5802125,24.1257,11.10625,52.6033125,11.1062625,56.9701125,25.5802125,49.5411,40.0541625,21.0634875,40.0541625
010046.png,49.04295,37.5069875,54.333425,23.4061375,79.873075,23.4061375,85.161475,37.5069875,79.871,51.607825,54.33135,51.607825
010047.png,44.43255,34.0774125,49.810125,19.0495875,77.984075,19.0495875,84.276525,34.0774125,78.8989625,49.105225,50.7250125,49.1052375
010048.png,38.7150375,43.5138,45.3758625,28.4745375,74.90165,28.4745375,80.4708125,43.5138,73.8099875,58.55305,44.2842125,58.55305
010049.png,34.8229875,19.7963375,39.922075,6.14475,69.890325,6.14475,77.2045,19.7963375,72.1054125,33.4479125,42.137175,33.4479125
001005.png,32.318475,22.4921125,37.8783625,9.1945875,66.4672375,9.1945875,72.7492625,22.4921125,67.1893875,35.789625,38.6005125,35.789625
010050.png,30.8177875,18.203225,36.618625,5.010025,66.62125,5.010025,73.247925,18.203225,67.4471,31.3964125,37.444475,31.3964125
010051.png,21.8797125,22.0976375,28.88705,8.8739125,56.7678375,8.8739125,61.3091,22.0976375,54.301775,35.32135,26.421,35.32135
010052.png,26.1568,43.0741375,32.307925,28.0367,62.6197375,28.0367,69.024175,43.0741375,62.8730375,58.11155,32.56125,58.1115625
010053.png,16.2636,50.2597625,20.4499125,35.8045375,48.93795,35.8045375,56.5517625,50.2597625,52.36545,64.7149875,23.877425,64.7149875
010054.png,28.4289,47.1942125,34.6363375,32.5855125,64.736575,32.5855125,70.9970875,47.1942125,64.78965,61.8029,34.689425,61.8029125
010055.png,38.1198,17.6057,42.31185,4.648425,71.20695,4.648425,78.98365,17.6057,74.7916,30.5629625,45.8965125,30.5629625
010056.png,44.2911125,39.085125,50.179075,24.4802125,77.6634625,24.4802,83.1599,39.085125,77.2719375,53.6900375,49.7875625,53.6900375
010057.png,37.7720125,42.1662625,43.8735875,28.0261625,71.836,28.0261625,77.31685,42.1662625,71.2152875,56.3063625,43.252875,56.3063625
010058.png,48.91715,25.2250125,52.3156625,11.0680875,78.736425,11.0680875,86.281775,25.2250125,82.883275,39.381925,56.4625125,39.381925
010059.png,29.6825375,24.218375,35.8110375,9.915025,66.09675,9.9150375,72.513025,24.218375,66.38455,38.5217,36.098825,38.5217125
001006.png,12.9375875,43.7458,16.9737125,29.72885,41.6812375,29.72885,47.8793125,43.7458,43.8431875,57.762725,19.135675,57.762725
010060.png,19.823725,51.3700375,23.9416625,38.1979125,50.736175,38.1979125,57.716875,51.3700375,53.5989375,64.5421625,26.8044375,64.5421625
010061.png,38.615925,26.7110125,43.6247375,12.67395,72.02265,12.67395,78.7766375,26.7110125,73.767825,40.7480625,45.369925,40.748075
010062.png,35.01065,47.113575,41.8454125,32.2754375,72.0012375,32.2754375,77.6574375,47.113575,70.822675,61.9517,40.66685,61.9517125
010063.png,16.1616625,57.3858,18.321525,44.8912,44.024625,44.8912,52.5113375,57.3858,50.351475,69.8804,24.6483875,69.8804
010064.png,26.2242375,43.03825,32.0587875,28.6436125,61.02525,28.6436,67.189,43.03825,61.3544625,57.4329,32.3880125,57.4329
010065.png,21.5347625,39.103275,27.779675,23.5655625,58.435775,23.5655625,64.8890375,39.103275,58.644125,54.640975,27.9880375,54.6409875
010066.png,47.7355375,57.3069375,56.48575,44.480325,82.613125,44.480325,84.685225,57.3069375,75.935025,70.13355,49.80765,70.1335625
010067.png,33.6860375,17.865825,38.815575,5.4859125,67.013575,5.4859125,73.5640625,17.865825,68.4345375,30.245725,40.236525,30.245725
010068.png,27.1879,55.545675,32.5406,42.874325,60.793025,42.874325,67.1428625,55.545675,61.790175,68.2170125,33.53775,68.2170125
010069.png,32.5847,54.605875,39.4865375,40.917525,69.5515375,40.917525,75.1030375,54.605875,68.2012125,68.2942125,38.136225,68.2942125
001007.png,49.491675,47.75945,56.811075,33.1709375,83.4431125,33.1709375,87.155075,47.75945,79.835675,62.34795,53.20365,62.34795
010070.png,34.8235375,49.6207375,41.7302875,35.173725,71.657125,35.173725,77.146475,49.6207375,70.2397125,64.06775,40.3128875,64.06775
010071.png,35.8090375,47.671125,42.7180375,32.9094,72.7294875,32.9094,78.2516375,47.671125,71.3426375,62.4328375,41.3312125,62.43285
010072.png,12.61885,36.97495,17.9270875,22.570375,43.1178125,22.570375,48.243925,36.97495,42.9357125,51.3795,17.744975,51.3795
010073.png,31.569925,53.4006375,38.0314625,39.8608375,67.439875,39.860825,73.1597,53.4006375,66.698175,66.9404375,37.289775,66.9404375
010074.png,29.855,26.8550375,36.070475,11.959325,66.9298125,11.959325,73.4966875,26.8550375,67.2812125,41.7507375,36.4218875,41.7507375
010075.png,48.38775,33.8265125,53.369775,18.9611375,80.2725125,18.9611375,86.4339875,33.8265125,81.4519625,48.691875,54.549225,48.691875
010076.png,43.9671625,43.61925,50.80145,28.3041625,79.6976375,28.3041625,84.8325625,43.61925,77.9982875,58.9343375,49.1020875,58.9343375
010077.png,41.130175,24.0179375,45.5772,9.6568625,74.5881375,9.6568625,82.157825,24.0179375,77.7107875,38.379,48.699875,38.379
010078.png,29.1374625,49.9651625,35.1912,36.0289125,64.4999625,36.0289125,70.586325,49.9651625,64.5325875,63.9014125,35.2238375,63.901425
010079.png,37.9507625,36.663975,44.1107625,21.2078875,74.2083375,21.2078875,80.5151625,36.663975,74.355175,52.12005,44.2576125,52.12005
001008.png,47.237825,38.6270125,52.811025,24.4246125,78.9720875,24.4246125,84.23515,38.6270125,78.6619625,52.8294125,52.5009125,52.8294125
010080.png,21.2500875,36.2981125,27.4055,21.3589,56.697425,21.3589,62.675125,36.2981125,56.519725,51.237325,27.2278125,51.237325
010081.png,33.8528,39.973375,40.16475,24.9244125,70.08555,24.9244125,76.1672,39.973375,69.8552625,55.0223125,39.934475,55.0223125
010082.png,14.8582625,32.13725,21.021475,17.9878875,46.9189875,17.9878875,51.4828875,32.13725,45.319675,46.2866,19.4221625,46.2866125
010083.png,33.47345,40.011375,39.5536625,25.505,68.4845125,25.505,74.3878625,40.011375,68.30765,54.51775,39.3768125,54.51775
010084.png,12.8609625,33.0912375,18.907725,18.6548,44.4546,18.6548,48.9897125,33.0912375,42.9429625,47.5276625,17.3961,47.5276625
010085.png,19.051625,30.014425,25.9740625,14.8011375,55.9929,14.8011375,61.504675,30.014425,54.58225,45.2276875,24.5634125,45.2276875
010086.png,28.525075,48.1204875,34.925325,33.282,65.688625,33.282,72.03095,48.1204875,65.6307,62.9589625,34.8674125,62.958975
010087.png,22.4311,32.1186375,29.0501625,16.849675,59.511675,16.849675,65.5101875,32.1186375,58.8911375,47.3875875,28.4296375,47.3875875
010088.png,29.970825,52.6744,35.995475,39.3160125,64.831725,39.3160125,70.75145,52.6744,64.7268125,66.0327875,35.8905625,66.0328
010089.png,15.7549,18.49585,24.102725,5.888025,49.5269375,5.888025,51.7101625,18.49585,43.36235,31.1036625,17.93815,31.1036625
001009.png,40.9682875,41.639175,46.9643125,27.6617875,74.1462125,27.6617875,79.4093125,41.639175,73.4132875,55.61655,46.2314,55.61655
010090.png,27.820725,50.3789375,34.075575,35.9005,64.6305,35.9005,71.0319125,50.3789375,64.77705,64.857375,34.2221375,64.857375
010091.png,24.3846375,33.0053625,30.6354625,18.384,59.8351875,18.384,65.6792875,33.0053625,59.4284625,47.6267125,30.22875,47.6267125
010092.png,23.285375,29.6352625,29.5364,15.7756875,57.3463,15.7756875,62.614525,29.6352625,56.3635125,43.4948375,28.5536125,43.4948375
010093.png,41.0789375,27.9319375,45.8935625,13.9068375,73.66715,13.9068375,80.356725,27.9319375,75.5421125,41.9570375,47.76855,41.95705
010094.png,45.0166625,43.5045375,51.2494875,29.502225,77.81895,29.502225,82.5915625,43.5045375,76.3587375,57.5068375,49.7892875,57.5068375
010095.png,38.006425,49.719175,45.307375,35.0544125,75.200675,35.0544125,80.28195,49.719175,72.981,64.383925,43.0877125,64.383925
010096.png,20.83415,39.3606875,26.5498625,24.8314375,54.8825125,24.8314375,60.902575,39.3606875,55.1868625,53.889925,26.854225,53.8899375
010097.png,19.723025,23.6621375,26.823425,10.1937375,54.3011375,10.19375,58.5823625,23.6621375,51.4819625,37.1305125,24.0042625,37.1305125
010098.png,17.1865,57.0542,20.4003,43.7399625,48.7944,43.73995,57.3418375,57.0542,54.12805,70.368425,25.73395,70.3684375
010099.png,50.0040875,44.259575,56.9062625,28.92,84.131475,28.92,88.506375,44.259575,81.6042125,59.59915,54.379,59.59915
000101.png,15.5206875,34.711825,21.297025,20.5630375,47.2924125,20.5630375,52.2837375,34.711825,46.5074,48.8606,20.5120125,48.8606125
001010.png,33.7900125,46.9522875,40.5985125,31.9898625,71.0934375,31.9898625,76.9163625,46.9522875,70.1078625,61.9146875,39.61295,61.9147
010100.png,42.68075,21.1347,46.4341125,7.175,75.046625,7.175,83.144975,21.1347,79.3916375,35.0943875,50.7791125,35.0944
010101.png,36.0581375,33.0033,41.6072,19.0006125,69.494525,19.0006125,75.4967625,33.0033,69.9476875,47.0059625,42.0603875,47.005975
010102.png,21.838075,20.595725,29.0567875,7.410675,57.376925,7.4106875,61.8888,20.595725,54.6700875,33.780775,26.3499625,33.780775
010103.png,13.90475,31.236275,20.0726375,17.3567,44.959425,17.3567,49.0999875,31.236275,42.9321,45.11585,18.045325,45.11585
010104.png,42.8825625,47.1693375,50.0054,32.472575,78.54695,32.472575,83.2464125,47.1693375,76.1235625,61.8660875,47.582025,61.8660875
010105.png,26.0803,19.174725,32.691175,6.305425,61.4426125,6.305425,66.7409625,19.174725,60.1301,32.0440125,31.3786625,32.0440125
010106.png,35.4631625,32.6795375,41.1919875,18.172625,70.0967125,18.172625,76.340625,32.6795375,70.6118125,47.1864375,41.7070875,47.18645
010107.png,19.508,27.87985,26.075775,14.186925,53.051175,14.186925,57.656975,27.87985,51.0892,41.572775,24.1138125,41.572775
010108.png,27.920575,25.152675,34.137875,11.234475,63.3598625,11.234475,69.2467125,25.152675,63.029425,39.0708625,33.8074375,39.0708625
010109.png,20.2489375,24.9620875,27.3053125,10.9530625,55.852425,10.9530625,60.62065,24.9620875,53.5642875,38.9711125,25.0171875,38.9711125
001011.png,36.106825,44.325525,42.2918875,30.3121375,70.4052625,30.312125,75.86515,44.325525,69.6800875,58.338925,41.566725,58.338925
010110.png,43.73335,24.4484,47.76425,10.898775,74.7431,10.898775,81.8872125,24.4484,77.8563125,37.998,50.8774625,37.9980125
010111.png,14.6119,33.957825,20.9354875,18.811975,48.96895,18.811975,54.2572125,33.957825,47.933625,49.1036875,19.9001625,49.1036875
010112.png,47.9226625,28.859675,52.1178,14.325925,78.9895,14.325925,85.925,28.859675,81.7298875,43.393425,54.858175,43.3934375
010113.png,47.4836625,45.4455,54.4017125,30.6594875,81.70875,30.6594875,86.1016625,45.4455,79.183625,60.2315125,51.8766,60.2315125
010114.png,48.128925,41.8594375,54.4156875,26.9962625,81.4173375,26.9962625,86.3150375,41.8594375,80.0282875,56.7226,53.0266375,56.7226125
010115.png,14.8187,21.7758125,22.995575,7.8609125,50.3237125,7.8609125,53.466525,21.7758125,45.28965,35.6907125,17.961525,35.690725
010116.png,46.023575,18.7669375,48.6593375,5.351225,76.0112875,5.351225,84.705075,18.7669375,82.0693125,32.1826375,54.717375,32.1826375
010117.png,29.160475,45.26955,35.387025,30.576875,65.3332375,30.576875,71.5108125,45.26955,65.284275,59.9622125,35.338075,59.962225
010118.png,15.841425,18.849175,24.4928,5.2660875,52.5760875,5.2660875,55.557175,18.849175,46.9058125,32.43225,18.82255,32.43225
010119.png,45.644775,38.7723875,51.6842,23.453875,79.93965,23.453875,85.604025,38.7723875,79.5646,54.0909,51.309175,54.0909
001012.png,16.0619625,39.1897,21.259925,25.0257125,47.45555,25.0257125,53.108175,39.1897,47.9102,53.353675,21.7146,53.353675
010120.png,35.763875,23.781475,40.92185,10.0863375,69.671975,10.0863375,76.4226875,23.781475,71.2647125,37.4765875,42.5145875,37.4765875
010121.png,31.2599,32.3965375,37.2290375,17.8685375,66.4865375,17.8685375,72.63625,32.3965375,66.6671125,46.9245375,37.409625,46.9245375
010122.png,47.1951125,51.9158375,54.7319875,38.5177125,80.830125,38.5177,84.1034625,51.9158375,76.5666125,65.31395,50.468475,65.31395
010123.png,47.127925,30.3098625,51.703075,15.374725,79.268575,15.374725,86.1114375,30.3098625,81.5363,45.2449875,53.9708,45.2449875
010124.png,37.777225,21.4308625,42.43705,8.004175,71.024875,8.004175,78.2065375,21.4308625,73.546725,34.85755,44.9588875,34.85755
010125.png,48.8944375,56.8780125,57.62085,44.011425,83.3209375,44.011425,85.2398625,56.8780125,76.5134625,69.7446,50.813375,69.7446125
010126.png,17.9178125,54.4734125,21.9715625,40.4909875,51.2769625,40.4909875,59.3619125,54.4734125,55.308175,68.455825,26.0027875,68.455825
010127.png,27.6297875,31.02565,34.0615875,15.775975,64.95995,15.775975,71.3266875,31.02565,64.8949,46.2753125,33.9965375,46.2753125
010128.png,24.7578625,25.216775,31.498,10.7027625,61.826075,10.7027625,67.64825,25.216775,60.9081125,39.7308,30.5800375,39.7308
010129.png,35.604175,33.8420875,41.2489875,19.717,69.35175,19.717,75.3475,33.8420875,69.7027,47.9671625,41.5999375,47.9671625
001013.png,48.7499,37.8324,54.33975,22.96735,81.07075,22.96735,86.5532875,37.8324,80.96345,52.6974625,54.232425,52.6974625
010130.png,19.1292875,40.55125,24.758175,25.758875,53.371125,25.758875,59.5941125,40.55125,53.965225,55.3436125,25.3522875,55.343625
010131.png,15.1797,45.5689,19.56815,31.2064625,46.4315625,31.2064625,53.170325,45.5689,48.781875,59.9313375,21.9184625,59.9313375
010132.png,19.171875,48.153525,23.9567375,33.9348875,52.2829125,33.9348875,59.23115,48.153525,54.4462875,62.3721625,26.120125,62.3721625
010133.png,51.2091875,48.2494625,58.453675,34.0556875,84.0231375,34.0556875,87.3698625,48.2494625,80.1253875,62.443225,54.555925,62.4432375
010134.png,35.315075,36.4592625,41.288875,21.7497375,70.4013125,21.7497375,76.4863,36.4592625,70.5125125,51.168775,41.400075,51.168775
010135.png,28.14065,50.097475,33.968475,36.3447,62.9049125,36.3446875,69.062975,50.097475,63.2351625,63.8502375,34.298725,63.8502375
010136.png,12.9517375,43.5241125,17.1736625,29.228225,42.5559375,29.228225,48.8477,43.5241125,44.625775,57.8199875,19.2435125,57.82
010137.png,26.4967625,24.97965,33.099625,10.2946125,63.9682375,10.2946125,70.151575,24.97965,63.548725,39.6646625,32.6801125,39.6646625
010138.png,18.9161125,32.3515375,25.2274125,17.9094,53.156325,17.9094,58.4135625,32.3515375,52.1022625,46.7936875,24.1733625,46.7936875
010139.png,31.58365,42.028625,37.9102,27.0972125,67.8912625,27.0972125,73.9833,42.028625,67.65675,56.9600375,37.6756875,56.9600375
001014.png,21.5597875,27.0251625,28.143475,13.273775,55.883575,13.273775,60.7902125,27.0251625,54.206525,40.7765375,26.4664375,40.7765375
010140.png,47.4284875,48.2494375,54.6226875,34.039,81.375925,34.039,85.2633,48.2494375,78.0691125,62.4598625,51.315875,62.4598625
010141.png,42.900775,55.1801375,50.9487375,41.81085,78.837825,41.81085,82.3419125,55.1801375,74.29395,68.5494125,46.404875,68.5494125
010142.png,33.6326375,20.0423125,38.9471375,6.6413625,68.452875,6.641375,75.3600625,20.0423125,70.0455625,33.4432625,40.539825,33.4432625
010143.png,16.2860625,47.358325,20.582825,33.1805375,47.7371125,33.1805375,54.688025,47.358325,50.391275,61.5361,23.2369875,61.5361
010144.png,16.6583125,38.4045125,22.49,23.2466125,51.179725,23.2466125,57.231725,38.4045125,51.4000375,53.5624,22.7103125,53.5624
010145.png,42.965,37.9074625,48.6586125,23.591825,75.9374375,23.591825,81.5431,37.9074625,75.8495,52.2231,48.5706625,52.2231125
010146.png,27.812425,39.7987125,33.6097625,25.695875,61.8182125,25.695875,67.705225,39.7987125,61.9079,53.90155,33.6994375,53.90155
010147.png,41.6429,34.33935,47.1066875,19.8127125,75.05285,19.8127125,81.1647375,34.33935,75.7009625,48.8659875,47.7548125,48.8659875
010148.png,36.136025,36.4467125,42.27175,21.2101875,72.2473,21.2101875,78.5278625,36.4467125,72.39215,51.6832375,42.4166125,51.6832375
010149.png,49.5287875,55.52575,57.8598625,42.6413625,83.1034875,42.6413625,85.228675,55.52575,76.8976125,68.4101375,51.6539875,68.4101375
001015.png,19.6510875,29.5736125,26.2676875,15.19535,54.57815,15.19535,59.6881375,29.5736125,53.071525,43.951875,24.761075,43.951875
010150.png,46.49435,47.7472375,53.3092625,34.0200125,79.5066625,34.0200125,83.5430875,47.7472375,76.728175,61.4744625,50.530775,61.4744625
010151.png,18.7517,42.812325,24.0966,28.1382875,52.5295,28.1382875,58.9619125,42.812325,53.617025,57.48635,25.1841125,57.48635
010152.png,16.3426375,36.6806375,22.470575,21.3024875,51.569075,21.3024875,57.4941375,36.6806375,51.3662,52.058775,22.2677125,52.0587875
010153.png,41.551325,21.10235,45.514475,7.1188125,74.4539375,7.118825,82.4779125,21.10235,78.514775,35.0858875,49.5753125,35.0858875
010154.png,21.1250375,57.472125,25.2442625,44.6508625,53.849325,44.6508625,61.5787125,57.472125,57.4594875,70.2933875,28.8544375,70.2933875
010155.png,38.689325,37.4924875,44.68895,22.6166375,73.6607,22.6166375,79.661575,37.4924875,73.6619625,52.368325,44.6902125,52.368325
010156.png,18.651575,47.6641375,23.1389875,33.8656375,50.229475,33.8656375,56.963325,47.6641375,52.475925,61.462625,25.38545,61.462625
010157.png,48.7254625,42.3342875,54.7876375,28.206975,80.5688875,28.206975,85.185675,42.3342875,79.1235125,56.4615875,53.3422625,56.4616
010158.png,43.6392125,50.167525,50.8008125,36.453675,78.0080125,36.453675,82.116025,50.167525,74.9544375,63.8813625,47.7472375,63.881375
010159.png,21.8878125,51.6413625,26.5827875,38.1945375,54.598575,38.194525,61.5081125,51.6413625,56.81315,65.0881875,28.797375,65.0881875
001016.png,22.7260875,23.3450125,29.6522375,9.5677125,58.598425,9.5677125,63.6621875,23.3450125,56.73605,37.1223,27.7898625,37.1223
010160.png,44.0518875,24.2928625,48.0635125,10.0544875,76.1270875,10.0544875,83.7397875,24.2928625,79.7281625,38.5312375,51.6646,38.5312375
010161.png,18.8514125,43.07625,24.5074375,27.7849,54.4016,27.7849,61.12815,43.07625,55.4721375,58.3676,25.5779875,58.3676125
010162.png,34.718925,40.8948125,41.2084,25.580675,71.5790125,25.5806625,77.669475,40.8948125,71.1800125,56.20895,40.8094125,56.20895
010163.png,17.0528,32.60895,23.2368125,18.3526375,50.17425,18.3526375,55.1480875,32.60895,48.9641,46.865275,22.026675,46.865275
010164.png,37.8337125,38.15785,44.113525,22.74,74.16145,22.74,80.327925,38.15785,74.0481125,53.575675,44.0001875,53.575675
010165.png,33.3285,28.9399875,39.1545125,14.25135,69.0254,14.25135,75.5723,28.9399875,69.7462875,43.628625,39.875425,43.628625
010166.png,46.7716625,50.6224625,54.44105,36.4729125,81.61255,36.4729125,85.197975,50.6224625,77.5286,64.7720125,50.3571125,64.7720125
010167.png,23.6321875,18.6033875,30.8844875,5.1662375,60.99705,5.1662375,66.2177875,18.6033875,58.9655,32.0405375,28.85295,32.0405375
010168.png,38.1410125,55.011125,45.75315,41.4798625,74.910975,41.4798625,79.3764,55.011125,71.7642625,68.5423875,42.60645,68.5423875
010169.png,33.3897375,53.8815625,40.2775,40.1977875,70.0132125,40.1977875,75.442375,53.8815625,68.5546125,67.5653125,38.818925,67.565325
001017.png,40.9038375,23.3993625,45.295525,9.253275,74.1165375,9.253275,81.6629,23.3993625,77.271225,37.54545,48.450225,37.54545
010170.png,35.6442625,40.80435,41.5674125,26.7972125,69.4272125,26.7972125,75.0439875,40.80435,69.1208625,54.8115,41.2610625,54.8115
010171.png,42.330875,35.104525,47.8106375,20.637,75.499425,20.637,81.4887625,35.104525,76.0090125,49.5720375,48.3202125,49.5720375
010172.png,19.7228,41.7134625,24.8816,27.7797625,51.7755625,27.7797625,57.756625,41.7134625,52.597825,55.64715,25.703875,55.64715
